19 окт. 2025 14:13:37,131 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1033945689
19 окт. 2025 14:14:05,164 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1878648494
19 окт. 2025 14:14:05,168 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@2044405874
19 окт. 2025 14:14:06,699 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@2044405874
19 окт. 2025 14:14:07,139 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@936280684
19 окт. 2025 14:14:12,379 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1475619090
19 окт. 2025 14:14:12,390 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1475619090
19 окт. 2025 14:14:18,926 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@940987554
19 окт. 2025 14:14:19,320 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@940987554
19 окт. 2025 14:14:19,411 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1422026341
19 окт. 2025 14:14:19,588 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1190111566
19 окт. 2025 14:14:19,729 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1190111566
19 окт. 2025 14:14:20,658 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION OPEN SQL@1849206610
19 окт. 2025 14:14:20,789 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1849206610
19 окт. 2025 14:14:26,907 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION OPEN SQL@371561747
19 окт. 2025 14:15:48,308 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@371561747
19 окт. 2025 14:31:34,180 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@15198376
19 окт. 2025 14:31:35,952 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@761863997
19 окт. 2025 14:31:35,954 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@15198376
19 окт. 2025 14:31:36,136 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1610155589
19 окт. 2025 14:31:40,431 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1330311223
19 окт. 2025 14:31:40,431 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@359977100
19 окт. 2025 14:31:40,969 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@510254809
19 окт. 2025 14:31:41,093 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@850423889
19 окт. 2025 14:31:41,093 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@996508030
19 окт. 2025 14:31:41,093 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@680399847
19 окт. 2025 14:31:41,093 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@94509550
19 окт. 2025 14:31:41,093 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@843126997
19 окт. 2025 14:31:44,093 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1796116898
19 окт. 2025 14:31:45,227 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1400540947
19 окт. 2025 14:31:45,388 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1400540947
19 окт. 2025 14:31:46,537 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION OPEN SQL@82979439
19 окт. 2025 14:31:49,690 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION CLOSE SQL@82979439
19 окт. 2025 14:31:50,816 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION OPEN SQL@1381938024
19 окт. 2025 14:31:50,871 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1381938024
19 окт. 2025 14:31:50,875 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION OPEN SQL@79351448
19 окт. 2025 14:31:50,906 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION CLOSE SQL@79351448
19 окт. 2025 14:31:50,911 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION OPEN SQL@1215094539
19 окт. 2025 14:31:50,956 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1215094539
19 окт. 2025 14:31:54,220 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@743854353
19 окт. 2025 14:31:54,220 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@742180556
19 окт. 2025 14:31:54,441 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1330311223
19 окт. 2025 14:31:54,442 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@359977100
19 окт. 2025 14:31:54,442 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@843126997
19 окт. 2025 14:31:54,441 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@996508030
19 окт. 2025 14:31:54,441 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@680399847
19 окт. 2025 14:31:54,442 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@510254809
19 окт. 2025 14:31:54,442 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@94509550
19 окт. 2025 14:31:54,442 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@850423889
19 окт. 2025 14:31:54,493 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@205597485
19 окт. 2025 14:31:54,501 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1053212578
19 окт. 2025 14:31:57,007 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION OPEN SQL@65266658
19 окт. 2025 14:31:57,740 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1455924175
19 окт. 2025 14:31:57,764 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1053212578
19 окт. 2025 14:31:57,764 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@205597485
19 окт. 2025 14:31:57,765 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1455924175
19 окт. 2025 14:31:57,794 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@761863997
19 окт. 2025 14:32:24,234 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@186660168
19 окт. 2025 14:32:50,828 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1036234327
19 окт. 2025 14:32:52,582 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@761863997
19 окт. 2025 14:32:52,599 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1036234327
19 окт. 2025 14:32:54,686 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1301763240
19 окт. 2025 14:32:55,442 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@535408604
19 окт. 2025 14:32:55,442 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@649237322
19 окт. 2025 14:32:56,224 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1758815726
19 окт. 2025 14:32:56,463 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1803200314
19 окт. 2025 14:32:56,466 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@220190504
19 окт. 2025 14:32:56,483 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1126814220
19 окт. 2025 14:32:56,501 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1096736626
19 окт. 2025 14:32:56,506 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@874291231
19 окт. 2025 14:33:00,010 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1417361564
19 окт. 2025 14:33:01,313 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@254463344
19 окт. 2025 14:33:01,580 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@254463344
19 окт. 2025 14:33:02,582 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION OPEN SQL@220652904
19 окт. 2025 14:33:06,532 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION CLOSE SQL@220652904
19 окт. 2025 14:33:07,631 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION OPEN SQL@1312217156
19 окт. 2025 14:33:07,688 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1312217156
19 окт. 2025 14:33:07,692 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION OPEN SQL@505572109
19 окт. 2025 14:33:07,721 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION CLOSE SQL@505572109
19 окт. 2025 14:33:07,725 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION OPEN SQL@1860200919
19 окт. 2025 14:33:07,755 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1860200919
19 окт. 2025 14:33:11,695 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@829242552
19 окт. 2025 14:33:11,695 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@926022328
19 окт. 2025 14:33:11,961 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1096736626
19 окт. 2025 14:33:11,961 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@649237322
19 окт. 2025 14:33:11,961 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@220190504
19 окт. 2025 14:33:11,961 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@874291231
19 окт. 2025 14:33:11,961 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@535408604
19 окт. 2025 14:33:11,962 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1803200314
19 окт. 2025 14:33:11,962 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1758815726
19 окт. 2025 14:33:11,962 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1126814220
19 окт. 2025 14:33:12,018 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@679811345
19 окт. 2025 14:33:12,026 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@983446106
19 окт. 2025 14:33:16,002 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1544516569
19 окт. 2025 14:33:16,019 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@983446106
