19 окт. 2025 13:55:15,769 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:15,813 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:15,821 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:15,828 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:15,832 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:15,839 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:15,841 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:15,848 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:15,854 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:15,855 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:15,856 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:15,951 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 2704, Current connections count : 2
19 окт. 2025 13:55:15,957 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 2704, Current connections count : 2
19 окт. 2025 13:55:16,700 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:16,703 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:16,705 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:16,709 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:16,710 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:16,714 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:16,716 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:16,726 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:16,944 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:16,947 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:16,948 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:16,954 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:17,047 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:17,048 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:17,049 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:17,050 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:17,064 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:17,120 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:17,146 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 2704, Current connections count : 2
19 окт. 2025 13:55:17,340 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 6448, Time : 103, Current connections count : 3
19 окт. 2025 13:55:17,355 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 6448, Current connections count : 3
19 окт. 2025 13:55:20,972 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 2704, Current connections count : 3
19 окт. 2025 13:55:20,993 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 2704, Current connections count : 3
19 окт. 2025 13:55:20,994 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 2704, Current connections count : 3
19 окт. 2025 13:55:20,996 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 2704, Current connections count : 3
19 окт. 2025 13:55:20,996 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 2704, Current connections count : 3
19 окт. 2025 13:55:20,998 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 2704, Current connections count : 3
19 окт. 2025 13:55:20,999 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 2704, Current connections count : 3
19 окт. 2025 13:55:21,000 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 2704, Current connections count : 3
19 окт. 2025 13:55:21,001 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 2704, Current connections count : 3
19 окт. 2025 13:55:21,003 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 2704, Current connections count : 3
19 окт. 2025 13:55:21,004 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 2704, Current connections count : 3
19 окт. 2025 13:55:21,005 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 2704, Current connections count : 3
19 окт. 2025 13:55:21,005 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 2704, Current connections count : 3
19 окт. 2025 13:55:21,006 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 2704, Current connections count : 3
19 окт. 2025 13:55:21,010 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 2704, Current connections count : 3
